"model","mean_BIC","sd_BIC","mean_logl","n_best"
"ns_average_noAct",40.009224030968,10.8583993500036,-17.519705365696,1
"ns_average_full",40.300115660842,11.468751179,-17.665151180633,1
"ns_product_full",40.3263429900351,11.450773311787,-17.6782648452295,1
"ns_necessity_full",40.4154409799841,11.2997700562541,-17.7228138402041,1
"ns_product_noAct",40.8423167969868,10.1160859928155,-17.9362517487054,1
"ns_necessity_noAct",40.8962611057136,10.0187308828511,-17.9632239030688,1
"ns_kappa_full",41.7759692218934,10.0970425674151,-18.4030779611587,1
"ns_sufficiency_full",42.6339061944582,9.48012026529145,-18.8320464474411,6
"ns_kappa_noAct",42.7148923916169,8.33762984279435,-18.8725395460204,1
"ns_sufficiency_noAct",44.2801504437977,6.98554083906263,-19.6551685721108,30
