"node3","cause","cause_value","kappa","necessity","sufficiency","A","B","E","structure","trial_id","pgroup","trialtype","node2","ns_kappa","ns_product","ns_average","ns_necessity_only","ns_sufficiency_only"
"Bu=0","Bu",0,0.666666666666667,0.333333333333333,1,1,1,0,"conjunctive","1_c4",1,"c4","Bu",0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1
"Bu=1","Bu",1,0.166666666666667,0,0.333333333333333,1,1,0,"conjunctive","1_c4",1,"c4","Bu",0.166666666666667,0,0.166666666666667,0,0.333333333333333
"A=0","A",0,0.9,0,1,1,1,1,"conjunctive","1_c5",1,"c5","A",0.9,0,0.5,0,1
"A=1","A",1,1,1,1,1,1,1,"conjunctive","1_c5",1,"c5","A",1,1,1,1,1
"B=0","B",0,0.2,0,1,1,1,1,"conjunctive","1_c5",1,"c5","B",0.2,0,0.5,0,1
"B=1","B",1,1,1,1,1,1,1,"conjunctive","1_c5",1,"c5","B",1,1,1,1,1
"Au=0","Au",0,0.5,0,1,1,1,1,"conjunctive","1_c5",1,"c5","Au",0.5,0,0.5,0,1
"Au=1","Au",1,1,1,1,1,1,1,"conjunctive","1_c5",1,"c5","Au",1,1,1,1,1
"Bu=0","Bu",0,0.5,0,1,1,1,1,"conjunctive","1_c5",1,"c5","Bu",0.5,0,0.5,0,1
"Bu=1","Bu",1,1,1,1,1,1,1,"conjunctive","1_c5",1,"c5","Bu",1,1,1,1,1
"A=0","A",0,0.95,0.5,1,0,0,0,"disjunctive","1_d1",1,"d1","A",0.95,0.5,0.75,0.5,1
"A=1","A",1,0.05,0,0.5,0,0,0,"disjunctive","1_d1",1,"d1","A",0.05,0,0.25,0,0.5
"B=0","B",0,0.6,0.5,1,0,0,0,"disjunctive","1_d1",1,"d1","B",0.6,0.5,0.75,0.5,1
"B=1","B",1,0.4,0,0.5,0,0,0,"disjunctive","1_d1",1,"d1","B",0.4,0,0.25,0,0.5
"Au=0","Au",0,0.5,0,1,0,0,0,"disjunctive","1_d1",1,"d1","Au",0.5,0,0.5,0,1
"Au=1","Au",1,0,0,0,0,0,0,"disjunctive","1_d1",1,"d1","Au",0,0,0,0,0
"Bu=0","Bu",0,0.5,0,1,0,0,0,"disjunctive","1_d1",1,"d1","Bu",0.5,0,0.5,0,1
"Bu=1","Bu",1,0,0,0,0,0,0,"disjunctive","1_d1",1,"d1","Bu",0,0,0,0,0
"A=0","A",0,0.95,0.5,1,0,1,0,"disjunctive","1_d2",1,"d2","A",0.95,0.5,0.75,0.5,1
"A=1","A",1,0.05,0,0.5,0,1,0,"disjunctive","1_d2",1,"d2","A",0.05,0,0.25,0,0.5
"B=0","B",0,0.2,0,1,0,1,0,"disjunctive","1_d2",1,"d2","B",0.2,0,0.5,0,1
"B=1","B",1,0,0,0,0,1,0,"disjunctive","1_d2",1,"d2","B",0,0,0,0,0
"Au=0","Au",0,0.5,0,1,0,1,0,"disjunctive","1_d2",1,"d2","Au",0.5,0,0.5,0,1
"Au=1","Au",1,0,0,0,0,1,0,"disjunctive","1_d2",1,"d2","Au",0,0,0,0,0
"Bu=0","Bu",0,1,1,1,0,1,0,"disjunctive","1_d2",1,"d2","Bu",1,1,1,1,1
"Bu=1","Bu",1,0.5,0,1,0,1,0,"disjunctive","1_d2",1,"d2","Bu",0.5,0,0.5,0,1
"A=0","A",0,0,0,0,0,1,1,"disjunctive","1_d3",1,"d3","A",0,0,0,0,0
"A=1","A",1,0.05,0,0.5,0,1,1,"disjunctive","1_d3",1,"d3","A",0.05,0,0.25,0,0.5
"B=0","B",0,0.2,0,1,0,1,1,"disjunctive","1_d3",1,"d3","B",0.2,0,0.5,0,1
"B=1","B",1,1,1,1,0,1,1,"disjunctive","1_d3",1,"d3","B",1,1,1,1,1
"Au=0","Au",0,0,0,0,0,1,1,"disjunctive","1_d3",1,"d3","Au",0,0,0,0,0
"Au=1","Au",1,0,0,0,0,1,1,"disjunctive","1_d3",1,"d3","Au",0,0,0,0,0
"Bu=0","Bu",0,0.5,0,1,0,1,1,"disjunctive","1_d3",1,"d3","Bu",0.5,0,0.5,0,1
"Bu=1","Bu",1,1,1,1,0,1,1,"disjunctive","1_d3",1,"d3","Bu",1,1,1,1,1
"A=0","A",0,0.9,0,1,1,0,0,"disjunctive","1_d4",1,"d4","A",0.9,0,0.5,0,1
"A=1","A",1,0,0,0,1,0,0,"disjunctive","1_d4",1,"d4","A",0,0,0,0,0
"B=0","B",0,0.6,0.5,1,1,0,0,"disjunctive","1_d4",1,"d4","B",0.6,0.5,0.75,0.5,1
"B=1","B",1,0.4,0,0.5,1,0,0,"disjunctive","1_d4",1,"d4","B",0.4,0,0.25,0,0.5
"Au=0","Au",0,1,1,1,1,0,0,"disjunctive","1_d4",1,"d4","Au",1,1,1,1,1
"Au=1","Au",1,0.5,0,1,1,0,0,"disjunctive","1_d4",1,"d4","Au",0.5,0,0.5,0,1
"Bu=0","Bu",0,0.5,0,1,1,0,0,"disjunctive","1_d4",1,"d4","Bu",0.5,0,0.5,0,1
"Bu=1","Bu",1,0,0,0,1,0,0,"disjunctive","1_d4",1,"d4","Bu",0,0,0,0,0
"A=0","A",0,0.9,0,1,1,0,1,"disjunctive","1_d5",1,"d5","A",0.9,0,0.5,0,1
"A=1","A",1,1,1,1,1,0,1,"disjunctive","1_d5",1,"d5","A",1,1,1,1,1
"B=0","B",0,0,0,0,1,0,1,"disjunctive","1_d5",1,"d5","B",0,0,0,0,0
"B=1","B",1,0.4,0,0.5,1,0,1,"disjunctive","1_d5",1,"d5","B",0.4,0,0.25,0,0.5
"Au=0","Au",0,0.5,0,1,1,0,1,"disjunctive","1_d5",1,"d5","Au",0.5,0,0.5,0,1
"Au=1","Au",1,1,1,1,1,0,1,"disjunctive","1_d5",1,"d5","Au",1,1,1,1,1
"Bu=0","Bu",0,0,0,0,1,0,1,"disjunctive","1_d5",1,"d5","Bu",0,0,0,0,0
"Bu=1","Bu",1,0,0,0,1,0,1,"disjunctive","1_d5",1,"d5","Bu",0,0,0,0,0
"A=0","A",0,0.9,0,1,1,1,0,"disjunctive","1_d6",1,"d6","A",0.9,0,0.5,0,1
"A=1","A",1,0,0,0,1,1,0,"disjunctive","1_d6",1,"d6","A",0,0,0,0,0
"B=0","B",0,0.2,0,1,1,1,0,"disjunctive","1_d6",1,"d6","B",0.2,0,0.5,0,1
"B=1","B",1,0,0,0,1,1,0,"disjunctive","1_d6",1,"d6","B",0,0,0,0,0
"Au=0","Au",0,1,1,1,1,1,0,"disjunctive","1_d6",1,"d6","Au",1,1,1,1,1
"Au=1","Au",1,0.5,0,1,1,1,0,"disjunctive","1_d6",1,"d6","Au",0.5,0,0.5,0,1
"Bu=0","Bu",0,1,1,1,1,1,0,"disjunctive","1_d6",1,"d6","Bu",1,1,1,1,1
"Bu=1","Bu",1,0.5,0,1,1,1,0,"disjunctive","1_d6",1,"d6","Bu",0.5,0,0.5,0,1
"A=0","A",0,0.3,0,0.333333333333333,1,1,1,"disjunctive","1_d7",1,"d7","A",0.3,0,0.166666666666667,0,0.333333333333333
"A=1","A",1,0.366666666666667,0.333333333333333,0.666666666666667,1,1,1,"disjunctive","1_d7",1,"d7","A",0.366666666666667,0.222222222222222,0.5,0.333333333333333,0.666666666666667
"B=0","B",0,0.0666666666666667,0,0.333333333333333,1,1,1,"disjunctive","1_d7",1,"d7","B",0.0666666666666667,0,0.166666666666667,0,0.333333333333333
"B=1","B",1,0.6,0.333333333333333,0.666666666666667,1,1,1,"disjunctive","1_d7",1,"d7","B",0.6,0.222222222222222,0.5,0.333333333333333,0.666666666666667
"Au=0","Au",0,0.166666666666667,0,0.333333333333333,1,1,1,"disjunctive","1_d7",1,"d7","Au",0.166666666666667,0,0.166666666666667,0,0.333333333333333
"Au=1","Au",1,0.666666666666667,0.333333333333333,1,1,1,1,"disjunctive","1_d7",1,"d7","Au",0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1
"Bu=0","Bu",0,0.166666666666667,0,0.333333333333333,1,1,1,"disjunctive","1_d7",1,"d7","Bu",0.166666666666667,0,0.166666666666667,0,0.333333333333333
"Bu=1","Bu",1,0.666666666666667,0.333333333333333,1,1,1,1,"disjunctive","1_d7",1,"d7","Bu",0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1
"A=0","A",0,0.5,0,1,0,0,0,"conjunctive","2_c1",2,"c1","A",0.5,0,0.5,0,1
"A=1","A",1,0,0,0,0,0,0,"conjunctive","2_c1",2,"c1","A",0,0,0,0,0
"B=0","B",0,0.5,0,1,0,0,0,"conjunctive","2_c1",2,"c1","B",0.5,0,0.5,0,1
"B=1","B",1,0,0,0,0,0,0,"conjunctive","2_c1",2,"c1","B",0,0,0,0,0
"Au=0","Au",0,0.9,0,1,0,0,0,"conjunctive","2_c1",2,"c1","Au",0.9,0,0.5,0,1
"Au=1","Au",1,0,0,0,0,0,0,"conjunctive","2_c1",2,"c1","Au",0,0,0,0,0
"Bu=0","Bu",0,0.2,0,1,0,0,0,"conjunctive","2_c1",2,"c1","Bu",0.2,0,0.5,0,1
"Bu=1","Bu",1,0,0,0,0,0,0,"conjunctive","2_c1",2,"c1","Bu",0,0,0,0,0
"A=0","A",0,0.54,0.08,1,0,1,0,"conjunctive","2_c2",2,"c2","A",0.54,0.08,0.54,0.08,1
"A=1","A",1,0.04,0,0.08,0,1,0,"conjunctive","2_c2",2,"c2","A",0.04,0,0.04,0,0.08
"B=0","B",0,0.5,0,1,0,1,0,"conjunctive","2_c2",2,"c2","B",0.5,0,0.5,0,1
"B=1","B",1,0,0,0,0,1,0,"conjunctive","2_c2",2,"c2","B",0,0,0,0,0
"Au=0","Au",0,0.9,0,1,0,1,0,"conjunctive","2_c2",2,"c2","Au",0.9,0,0.5,0,1
"Au=1","Au",1,0,0,0,0,1,0,"conjunctive","2_c2",2,"c2","Au",0,0,0,0,0
"Bu=0","Bu",0,0.2,0,1,0,1,0,"conjunctive","2_c2",2,"c2","Bu",0.2,0,0.5,0,1
"Bu=1","Bu",1,0,0,0,0,1,0,"conjunctive","2_c2",2,"c2","Bu",0,0,0,0,0
"A=0","A",0,0.5,0,1,1,0,0,"conjunctive","2_c3",2,"c3","A",0.5,0,0.5,0,1
"A=1","A",1,0,0,0,1,0,0,"conjunctive","2_c3",2,"c3","A",0,0,0,0,0
