"trial_id","pgroup","trialtype","node3","n","prop","ig","baseline","ns_kappa_full","ns_product_full","ns_average_full","ns_necessity_full","ns_sufficiency_full","ns_kappa_noAct","ns_product_noAct","ns_average_noAct","ns_necessity_noAct","ns_sufficiency_noAct","Actual_ns","A","B","E","Include","Observed","Known"
"1_c4","1","c4","Au=1",2,0.0277777777777778,-0.028,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0.166666666666667,0,0.166666666666667,0,0.333333333333333,FALSE,1,1,0,TRUE,FALSE,FALSE
"1_c4","1","c4","B=0",0,0,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,TRUE,1,1,0,FALSE,TRUE,TRUE
"1_c4","1","c4","B=1",12,0.166666666666667,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,1,1,0,TRUE,TRUE,FALSE
"1_c4","1","c4","Bu=0",26,0.361111111111111,0.11,0.125,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1,TRUE,1,1,0,TRUE,FALSE,FALSE
"1_c4","1","c4","Bu=1",6,0.0833333333333333,-0.028,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0.166666666666667,0,0.166666666666667,0,0.333333333333333,FALSE,1,1,0,TRUE,FALSE,FALSE
"1_c5","1","c5","A=0",0,0,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,1,1,1,FALSE,TRUE,FALSE
"1_c5","1","c5","A=1",13,0.228070175438596,0,0.125,1,1,1,1,1,1,1,1,1,1,TRUE,1,1,1,TRUE,TRUE,TRUE
"1_c5","1","c5","Au=0",1,0.0175438596491228,0.5,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0.5,0,0.5,0,1,FALSE,1,1,1,TRUE,FALSE,FALSE
"1_c5","1","c5","Au=1",23,0.403508771929825,0.5,0.125,1,1,1,1,1,1,1,1,1,1,TRUE,1,1,1,TRUE,FALSE,TRUE
"1_c5","1","c5","B=0",0,0,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,1,1,1,FALSE,TRUE,FALSE
"1_c5","1","c5","B=1",4,0.0701754385964912,0,0.125,1,1,1,1,1,1,1,1,1,1,TRUE,1,1,1,TRUE,TRUE,TRUE
"1_c5","1","c5","Bu=0",1,0.0175438596491228,0.5,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0.5,0,0.5,0,1,FALSE,1,1,1,TRUE,FALSE,FALSE
